"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LD-1700","Emergency Room Care","17643939","BC Children's Hospital","17643949","Emergency Health Services","Provides emergency medical care for children up to 16 years of age with acute medical, surgical and mental health illnesses or injuries.","52920600","52920595","","http://www.bcchildrens.ca/our-services/hospital-services/emergency-services",,"Y","Translation services available","24 hours a day, 7 days a week","880 West 28th Avenue","","","","Vancouver","BC","V5Z 4H4","49.245569","-123.123782","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643949&SiteResourceAgencyNum=52920595"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645046","17644367","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","32900 Marshall Road","","","","Abbotsford","BC","V2S 0C2","49.038152","-122.313003","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644367"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645047","17644365","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","13750 96th Avenue","","","","Surrey","BC","V3V 1Z2","49.177003","-122.842316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644365"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645048","17644355","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","45600 Menholm Road","","","","Chilliwack","BC","V2P 1P7","49.165763","-121.962422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644355"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645049","17644442","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","1275 7th Avenue","","","","Hope","BC","V0X 1L4","49.376899","-121.424345","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644442"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645050","17644429","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","22051 Fraser Highway","","","","Langley","BC","V4H 4H4","49.093175","-122.613957","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644429"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645051","17644363","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","11666 Laity Street","","","","Maple Ridge","BC","V2X 7G5","49.214787","-122.631951","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644363"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645052","17644420","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","330 E Columbia Street","","","","New Westminster","BC","V3L 3W7","49.226790","-122.892844","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644420"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645053","17644357","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","475 Guildford Way","","","","Port Moody","BC","V3H 3W9","49.283374","-122.823597","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644357"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645054","17644353","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","3935 Kincaid Street","","","","Burnaby","BC","V5G 2X6","49.248776","-123.016837","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644353"
