variable_name,cost_type,service_type,health_authority,ctas_admit,age,cost_value,lost_productivity,informal_caregiver,out_of_pocket,Geospatial Component,Geospatial Component Percentage
ED_SC_NH_CTAS_III_1,societal,emergency,Northern,1-3,0-14,$210.95 ,$0.00 ,$160.64 ,$50.31 ,$80.95 ,0.38
ED_SC_NH_CTAS_III_2,societal,emergency,Northern,1-3,15-64,$291.27 ,$160.64 ,$80.32 ,$50.31 ,$104.77 ,0.36
ED_SC_NH_CTAS_III_3,societal,emergency,Northern,1-3,65+,$130.63 ,$0.00 ,$80.32 ,$50.31 ,$57.13 ,0.44 
ED_SC_NH_CTAS_V_1,societal,emergency,Northern,4-5,0-14,$170.75 ,$0.00 ,$120.94 ,$49.81 ,$80.95 ,0.47
ED_SC_NH_CTAS_V_2,societal,emergency,Northern,4-5,15-64,$231.22 ,$120.94 ,$60.47 ,$49.81 ,$104.77 ,0.45
ED_SC_NH_CTAS_V_3,societal,emergency,Northern,4-5,65+,$110.28 ,$0.00 ,$60.47 ,$49.81 ,$57.13 ,0.52
ED_SC_IH_CTAS_III_1,societal,emergency,Interior,1-3,0-14,$187.83 ,$0.00 ,$146.29 ,$41.54 ,$53.83 ,0.29
ED_SC_IH_CTAS_III_2,societal,emergency,Interior,1-3,15-64,$260.97 ,$146.29 ,$73.14 ,$41.54 ,$70.47 ,0.27
ED_SC_IH_CTAS_III_3,societal,emergency,Interior,1-3,65+,$114.68 ,$0.00 ,$73.14 ,$41.54 ,$37.18 ,0.32
ED_SC_IH_CTAS_V_1,societal,emergency,Interior,4-5,0-14,$146.62 ,$0.00 ,$106.58 ,$40.04 ,$53.83 ,0.37
ED_SC_IH_CTAS_V_2,societal,emergency,Interior,4-5,15-64,$199.92 ,$106.58 ,$53.29 ,$40.04 ,$70.47 ,0.35
ED_SC_IH_CTAS_V_3,societal,emergency,Interior,4-5,65+,$93.33 ,$0.00 ,$53.29 ,$40.04 ,$37.18 ,0.4
ED_SC_VCH_CTAS_III_1,societal,emergency,Vancouver Coastal,1-3,0-14,$164.74 ,$0.00 ,$125.21 ,$39.53 ,$18.00 ,0.11
ED_SC_VCH_CTAS_III_2,societal,emergency,Vancouver Coastal,1-3,15-64,$227.35 ,$125.21 ,$62.61 ,$39.53 ,$24.10 ,0.11
ED_SC_VCH_CTAS_III_3,societal,emergency,Vancouver Coastal,1-3,65+,$102.14 ,$0.00 ,$62.61 ,$39.53 ,$11.89 ,0.12
ED_SC_VCH_CTAS_V_1,societal,emergency,Vancouver Coastal,4-5,0-14,$124.29 ,$0.00 ,$85.51 ,$38.78 ,$18.00 ,0.14
ED_SC_VCH_CTAS_V_2,societal,emergency,Vancouver Coastal,4-5,15-64,$167.05 ,$85.51 ,$42.76 ,$38.78 ,$24.10 ,0.14
ED_SC_VCH_CTAS_V_3,societal,emergency,Vancouver Coastal,4-5,65+,$81.54 ,$0.00 ,$42.76 ,$38.78 ,$11.89 ,0.15
ED_SC_FH_CTAS_III_1,societal,emergency,Fraser,1-3,0-14,$183.62 ,$0.00 ,$145.68 ,$37.94 ,$47.37 ,0.26
ED_SC_FH_CTAS_III_2,societal,emergency,Fraser,1-3,15-64,$256.45 ,$145.68 ,$72.84 ,$37.94 ,$63.71 ,0.25
ED_SC_FH_CTAS_III_3,societal,emergency,Fraser,1-3,65+,$110.78 ,$0.00 ,$72.84 ,$37.94 ,$31.03 ,0.28
ED_SC_FH_CTAS_V_1,societal,emergency,Fraser,4-5,0-14,$143.16 ,$0.00 ,$105.97 ,$37.19 ,$47.37 ,0.33
ED_SC_FH_CTAS_V_2,societal,emergency,Fraser,4-5,15-64,$196.15 ,$105.97 ,$52.99 ,$37.19 ,$63.71 ,0.32
ED_SC_FH_CTAS_V_3,societal,emergency,Fraser,4-5,65+,$90.18 ,$0.00 ,$52.99 ,$37.19 ,$31.03 ,0.34
ED_SC_VIH_CTAS_III_1,societal,emergency,Vancouver Island,1-3,0-14,$164.95 ,$0.00 ,$132.24 ,$32.71 ,$30.95 ,0.19
ED_SC_VIH_CTAS_III_2,societal,emergency,Vancouver Island,1-3,15-64,$231.07 ,$132.24 ,$66.12 ,$32.71 ,$40.57 ,0.18
ED_SC_VIH_CTAS_III_3,societal,emergency,Vancouver Island,1-3,65+,$98.83 ,$0.00 ,$66.12 ,$32.71 ,$21.33 ,0.22
ED_SC_VIH_CTAS_V_1,societal,emergency,Vancouver Island,4-5,0-14,$123.75 ,$0.00 ,$92.54 ,$31.21 ,$30.95 ,0.25
ED_SC_VIH_CTAS_V_2,societal,emergency,Vancouver Island,4-5,15-64,$170.01 ,$92.54 ,$46.27 ,$31.21 ,$40.57 ,0.24
